uniqueID,type,title,location,captions
ep141,national,Style vs. Substance,OH,https://www.youtube.com/api/timedtext?v=sjROU-b7PZM&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940942&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=A647197730713006EEA9ADDA79821BF81D3790D0.85CE4C88BDC01E722BF605D854545DFF83D19C91&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep142,national,A Fresh Start in Atlanta,GA,https://www.youtube.com/api/timedtext?v=lJkjioPCIvk&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940960&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=1078E7211A618AAAF2CD485E6BC4AE0E1094E43C.4E764D565A70F4F761178409631B4171F7E7C1FD&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep143,national,Military Mom on a Mission,VA,https://www.youtube.com/api/timedtext?v=H-1ICQ1NY_U&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940973&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=85D3A38128026BB980283191CA29881B5D0D9B3A.6F9A4F9C06115DAD3BF0B9FD745ADAE0BC9016BE&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep144,national,First Home in California,CA,https://www.youtube.com/api/timedtext?v=W3WjP_9aOgw&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940989&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=2B559D79A17A7445B9360BD0D2E7A3A48EACB985.E5589DCA2071877C0049B0A64141C0461F1BD83D&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep145,national,City or Suburbs in DC,DC,https://www.youtube.com/api/timedtext?v=HfLbyUYY3xc&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629941015&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=73792A4757F7D68BD203CEE49506A1A9672BD709.328FE639FE32B4611BC0B9D23FC5E5B579F4FD9C&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep146,national,California Firefighters Dream,CA,https://www.youtube.com/api/timedtext?v=VK006p3tlng&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629941030&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=9029D9A4C071DF87AD2D4C056AFB4C199785CD4A.34F95E9509FF272995E4FB64ACAD158ADE2A0E9F&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep147,national,Looking for a Larger Home,NA,https://www.youtube.com/api/timedtext?v=sWKGhLxX8Io&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629944801&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=BA6E4B10CA856280ED767930D66DE8D140539581.A1A76564B600FF997670EEEC5E8CA8F18C78CEAC&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep148,national,Condominium Search,NA,https://www.youtube.com/api/timedtext?v=VuOZhi28HJ8&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945145&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=D0B25E8B442A99C7DBDE411BB31A46F88506AD1F.3C3E1C1800FFF9DC44D24D5C931F68BAA805250D&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep149,national,A Home to Call Their Own,NA,https://www.youtube.com/api/timedtext?v=F83DV6gUt9A&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945234&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=124DC6F04801DF877BBCB6AD02CF889DFABBF79F.E5DBF97B5BF106F8E8F8B53327F940F3FF35D93A&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep150,national,First-Time Homeowners,NA,https://www.youtube.com/api/timedtext?v=RfeTA0GQhZ0&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945261&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=07FBFEBF31F9BDD33FDD65A863FA9233444E444B.B46567109B6A16FE49C5EA926DC6064B402C85C3&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep151,national,Beachfront Hopes,NA,https://www.youtube.com/api/timedtext?v=bj6cuMP4g6M&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945292&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=EEE05037C894B2D6A8D0AC4DFA2670B9276A6008.58C2AC00F7D09F76FC25AB1DB465499CE8987060&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep152,national,Home Downsizing,NA,https://www.youtube.com/api/timedtext?v=64ctRJITfA0&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945325&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=C1502DE59182BACE46E96F98CD918B39B944C383.B38A068A2A46CD299846B79A1B1AC8712A6A53FA&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep153,national,Moving Back to the City,NA,https://www.youtube.com/api/timedtext?v=x248g_YhCaA&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945344&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=6958D072D77E78D369D198647D4AE5876140CBD7.20D7407A1074AF3520F1F81AFCA3F07E57593D67&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep154,national,Family Growth Prompts Move,NA,https://www.youtube.com/api/timedtext?v=uSsS5-7yOoo&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945372&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=12C594026214E87C87136733F452C2106D362AEF.9E94A3F07CCB7F0B60550B2FC5055F00BE3D0386&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep155,national,First American Home,NA,https://www.youtube.com/api/timedtext?v=GEX7KvGTd6k&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945387&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=1B0C255C845A78433BAE2F45DB19A3FC202614F4.579C83ADF90AE130C2A3A2E9DA30266E9EA8D37C&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
ep156,national,Moving Closer to the Children,NA,https://www.youtube.com/api/timedtext?v=mZvwJ0H_0SQ&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629945404&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=1CC8F432DA9A58BB9E7D0F0D59B7C4D3E4AF27E6.493FC0AEA8B663649289D9AB33F0F87DAFF48F0A&key=yt8&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3
